start_x,start_y,start_theta,start_phi,start_v,target_x,target_y,target_theta,target_phi,target_v,T_exact,T_poly,max_poly_error,final_poly_x,final_poly_y,final_poly_theta,final_poly_phi,final_poly_v
0.0,0.0,0.0,0.0,8.604766674130989,10.0,2.1510545670100356,1.3680691377195977,0.0,7.391722280839802,2.2607090141054207,2.387349958944678,0.9126423869908705,10.0,2.1510545670100356,1.3680691377195977,0.0,7.391722280839802
0.0,0.0,0.0,0.0,3.1938177975711355,10.0,-4.184660984484562,2.4850522989245185,0.0,6.02303694056935,3.8867839137405378,3.946346811517561,0.35494068206403534,10.0,-4.184660984484562,2.4850522989245185,0.0,6.02303694056935
0.0,0.0,0.0,0.0,2.475832514355878,10.0,-5.773317191245826,-0.10227146361679385,0.0,5.3957733481228445,2.0581598854281404,2.0768834181271325,0.14844418841950668,10.0,-5.773317191245826,-0.10227146361679385,0.0,5.3957733481228445
0.0,0.0,0.0,0.0,5.405964586942127,10.0,-2.662882518660881,-0.8433717092930038,0.0,6.392016082286256,1.579710212656157,1.5866009497322622,0.07113634359420841,10.0,-2.662882518660881,-0.8433717092930038,0.0,6.392016082286256
0.0,0.0,0.0,0.0,6.771704221402091,10.0,8.824236231881152,-2.792109251969652,0.0,9.516839805083519,4.757055719639093,4.897840378111361,1.292355837768303,10.0,8.824236231881152,-2.792109251969652,0.0,9.516839805083519
0.0,0.0,0.0,0.0,8.83570328531036,10.0,6.261753518061202,0.2852072940936945,0.0,3.6233285893391343,2.367337451096637,2.7414633529569845,1.2600654176253983,10.0,6.261753518061202,0.2852072940936945,0.0,3.6233285893391343
0.0,0.0,0.0,0.0,7.283925451490038,10.0,-5.27628276992149,1.8096881866144878,0.0,5.7028675442681775,3.4586280189205687,3.5335199378117106,0.4222547079489374,10.0,-5.27628276992149,1.8096881866144878,0.0,5.7028675442681775
0.0,0.0,0.0,0.0,0.47373751868828085,10.0,-3.0263960117569972,0.42283551071165304,0.0,8.002446642206596,2.3468824449657677,2.382462711948125,0.2836862147752993,10.0,-3.0263960117569972,0.42283551071165304,0.0,8.002446642206596
0.0,0.0,0.0,0.0,5.101393662681366,10.0,-7.647997646704516,-2.7429805266184215,0.0,7.670187744465078,3.337648604671175,3.412938218217349,0.5720705511898949,10.0,-7.647997646704516,-2.7429805266184215,0.0,7.670187744465078
0.0,0.0,0.0,0.0,1.0715022796455254,10.0,4.039359885102842,2.2331267377984343,0.0,0.8554432916399701,3.649329298941862,3.717051904985737,0.3845372675555215,10.0,4.039359885102842,2.2331267377984343,0.0,0.8554432916399701
0.0,0.0,0.0,0.0,3.942159207624961,10.0,-8.840656137491692,-0.022362881591690087,0.0,1.8848001574108608,2.7041376208396275,2.7347658385265308,0.10774168341707249,10.0,-8.840656137491692,-0.022362881591690087,0.0,1.8848001574108608
0.0,0.0,0.0,0.0,0.5296842142915392,10.0,-2.550301787625009,-1.0997179454628658,0.0,0.8207726669561932,2.9379897948538085,2.985882922588259,0.3395394018126276,10.0,-2.550301787625009,-1.0997179454628645,-1.1099616175283851e-16,0.8207726669561938
0.0,0.0,0.0,0.0,6.124113482461829,10.0,-4.80235946942047,-0.5759280505402078,0.0,5.991854395333675,1.4620397010113748,1.4806681829937252,0.12258645067772243,10.0,-4.80235946942047,-0.5759280505402078,0.0,5.991854395333675
0.0,0.0,0.0,0.0,1.5960635735867257,10.0,5.700519495274758,-2.6900955273660165,0.0,7.9573517145420105,4.546544717211465,4.65069140935537,0.8069975320627589,10.0,5.700519495274758,-2.6900955273660165,0.0,7.9573517145420105
0.0,0.0,0.0,0.0,3.1861871673540945,10.0,5.108964569967139,-0.15883712079083123,0.0,6.527275885277792,2.0246643974627356,2.0364469906363465,0.08478250659144587,10.0,5.108964569967139,-0.15883712079083123,0.0,6.527275885277792
0.0,0.0,0.0,0.0,5.385191977059226,10.0,-6.506036910455368,1.417439654703509,0.0,4.67331982094916,3.361217688993172,3.4256566001796176,0.33898871032114253,10.0,-6.506036910455368,1.417439654703509,0.0,4.67331982094916
0.0,0.0,0.0,0.0,4.26402747999739,10.0,4.339160327330093,-1.0668758133051948,0.0,8.353944040753586,3.0551322166038593,3.1696179919637553,0.9334185608757355,10.0,4.339160327330093,-1.0668758133051948,0.0,8.353944040753586
0.0,0.0,0.0,0.0,0.9301310431588727,10.0,4.221110895637054,-2.256909024932615,0.0,3.001006768545057,4.106879628965023,4.153105873295777,0.23993689608556495,10.0,4.221110895637054,-2.256909024932615,0.0,3.001006768545057
0.0,0.0,0.0,0.0,6.500989591256956,10.0,3.009077864500064,1.5197295654284417,0.0,7.1779282169487875,2.252292082582225,2.2934507218876146,0.2937737082319647,10.0,3.009077864500064,1.5197295654284417,0.0,7.1779282169487875
0.0,0.0,0.0,0.0,4.48655569250489,10.0,8.391272203570225,0.12238087191597824,0.0,8.992689771581741,2.13016654820076,2.19683736251641,0.5949244563444125,10.0,8.391272203570225,0.12238087191597824,0.0,8.992689771581741
0.0,0.0,0.0,0.0,6.76209007178238,10.0,-5.671951462830281,0.19325331130171008,0.0,5.478291680199122,2.205325662354854,2.233499773727557,0.2875783966429544,10.0,-5.671951462830281,0.19325331130171008,0.0,5.478291680199122
0.0,0.0,0.0,0.0,8.919031496203937,10.0,-9.332132156370808,2.9215372910727453,0.0,5.562128642488764,4.285084115442566,4.349443333698895,0.3604089778554222,10.0,-9.332132156370808,2.9215372910727453,0.0,5.562128642488764
0.0,0.0,0.0,0.0,7.421184557361782,10.0,-7.3326473391364555,-1.9203455728595489,0.0,4.214386922278851,2.3940815773804434,2.4342340442901924,0.24759484750649075,10.0,-7.3326473391364555,-1.9203455728595489,0.0,4.214386922278851
0.0,0.0,0.0,0.0,6.04831423322477,10.0,-9.349801597965726,1.913603945704657,0.0,6.988206940583739,4.055690073572756,4.1458859121958405,0.6232657830615184,10.0,-9.349801597965726,1.913603945704657,0.0,6.988206940583739
0.0,0.0,0.0,0.0,3.318917434612353,10.0,-5.876491770039216,2.8453743364688924,0.0,4.657598181938529,4.1740681944513085,4.225638034639084,0.24587414040926078,10.0,-5.876491770039216,2.8453743364688924,0.0,4.657598181938529
